id_factura,fecha,id_proveedor,id_departamento,importe,concepto
FAC_69C94A1C,2025-09-20,PROV_0032,DEP_OPS,744.33,Cafetería y Catering - Ref 6139
FAC_827DF8E8,2024-08-22,PROV_0011,DEP_FIN,1328.28,Servicio de Vigilancia mensual - Ref 4933
FAC_7760612A,2025-02-21,PROV_0005,DEP_FIN,10884.84,Asesoría Financiera - Ref 9302
FAC_5816396C,2024-05-03,PROV_0013,DEP_OPS,2056.06,Patrocinio Evento Anual - Ref 4422
FAC_F68657B1,2025-06-03,PROV_0025,DEP_MKT,934.9,Limpieza Oficinas Centrales - Ref 8968
FAC_B71EC46C,2024-02-11,PROV_0022,DEP_FIN,3518.06,Asesoría Legal laboral - Ref 9980
FAC_C28A9D92,2025-06-25,PROV_0003,DEP_FIN,712.67,Mobiliario ergonómico - Ref 3885
FAC_A5A6DD32,2024-08-06,PROV_0012,DEP_OPS,618.36,Consumo Eléctrico Centralizado - Ref 1255
FAC_BFADF82E,2024-10-31,PROV_0027,DEP_IT,5022.47,Servicio Formación Ejecutiva - Ref 1179
FAC_6E2B0524,2024-11-02,PROV_0009,DEP_IT,14999.79,Licencias de Software Cloud - Ref 7885
FAC_D3A1C8F7,2025-06-27,PROV_0004,DEP_LEG,8929.19,Consultoría Estratégica Trimestral - Ref 1984
FAC_631B5625,2025-10-09,PROV_0005,DEP_MKT,5417.26,Auditoría de Procesos - Ref 1978
FAC_D25BCD85,2025-03-30,PROV_0034,DEP_LEG,9100.0,Consumibles y Papelería - Ref 1648
FAC_98C62E90,2025-05-11,PROV_0029,DEP_HR,2407.87,Tasas de Registro y Patentes - Ref 1532
FAC_409FD50E,2026-05-02,PROV_0024,DEP_OPS,12534.57,Soporte de Sistemas E2E - Ref 7114
FAC_4BFF0ECC,2024-09-22,PROV_0029,DEP_LEG,667.5,Asesoría Legal laboral - Ref 1386
FAC_168BAEA6,2025-03-07,PROV_0001,DEP_LEG,3845.26,Consultoría Estratégica Trimestral - Ref 2295
FAC_4E619641,2024-04-07,PROV_0010,DEP_LEG,387.7,Consumibles y Papelería - Ref 2547
FAC_31172D53,2024-10-05,PROV_0023,DEP_FIN,4123.72,Patrocinio Evento Anual - Ref 6331
FAC_EE85E9ED,2024-11-19,PROV_0029,DEP_MKT,2430.2,Asesoría Legal laboral - Ref 4292
FAC_70E0484B,2024-12-07,PROV_0023,DEP_FIN,570.9,Gestión RRSS mensual - Ref 3626
FAC_99BE89AA,2024-10-02,PROV_0032,DEP_OPS,204.78,Cafetería y Catering - Ref 2168
FAC_96EEC47D,2024-06-13,PROV_0035,DEP_LEG,13456.11,Consultoría Estratégica Trimestral - Ref 4165
FAC_3D8EEADB,2025-05-23,PROV_0030,DEP_IT,565.69,Material de Oficina general - Ref 4201
FAC_FD69852D,2024-08-14,PROV_0028,DEP_OPS,547.9,Gestión RRSS mensual - Ref 1055
FAC_1D9DC2C2,2025-08-02,PROV_0001,DEP_FIN,2543.14,Servicio Formación Ejecutiva - Ref 8453
FAC_22ABB447,2025-12-16,PROV_0019,DEP_LEG,3209.95,Tasas de Registro y Patentes - Ref 6900
FAC_CAD84234,2025-06-08,PROV_0033,DEP_FIN,2888.07,Campaña Publicidad Digital - Ref 7205
FAC_6AAFF683,2026-03-13,PROV_0019,DEP_FIN,3968.11,Tasas de Registro y Patentes - Ref 4769
FAC_D4C36DAE,2024-10-27,PROV_0030,DEP_LEG,866.82,Cafetería y Catering - Ref 9796
FAC_55B9C62F,2025-04-21,PROV_0028,DEP_OPS,3519.28,Diseño Marca Corporativa - Ref 8574
FAC_5C07502B,2024-09-19,PROV_0006,DEP_LEG,4029.73,Control Acceso Biométrico - Ref 2172
FAC_7E8D0E65,2024-11-12,PROV_0015,DEP_MKT,14575.19,Distribución Última Milla - Ref 8929
FAC_9B5C337C,2024-02-14,PROV_0019,DEP_MKT,3182.22,Defensa Jurídica mensual - Ref 7954
FAC_A35A0DF3,2024-08-07,PROV_0009,DEP_IT,14039.12,Hardware Portátiles - Ref 9420
FAC_16E2957F,2024-05-26,PROV_0032,DEP_IT,903.63,Material de Oficina general - Ref 3180
FAC_5844911A,2024-04-03,PROV_0022,DEP_IT,9199.0,Tasas de Registro y Patentes - Ref 9214
FAC_89DB5C6F,2025-01-23,PROV_0030,DEP_HR,473.25,Cafetería y Catering - Ref 4042
FAC_84AA8670,2025-12-05,PROV_0023,DEP_MKT,2591.96,Campaña Publicidad Digital - Ref 9225
FAC_46554F04,2025-06-19,PROV_0030,DEP_OPS,676.41,Consumibles y Papelería - Ref 9963
FAC_F0D3B378,2025-04-14,PROV_0028,DEP_IT,9299.0,Diseño Marca Corporativa - Ref 6513
FAC_AA1174D2,2024-08-21,PROV_0029,DEP_HR,4387.63,Tasas de Registro y Patentes - Ref 3225
FAC_1955AF20,2024-03-06,PROV_0014,DEP_HR,12486.01,Soporte de Sistemas E2E - Ref 2406
FAC_3BFB21DD,2024-07-12,PROV_0028,DEP_MKT,1671.72,Gestión RRSS mensual - Ref 8588
FAC_3AE3A4E3,2025-08-26,PROV_0008,DEP_MKT,714.31,Mobiliario ergonómico - Ref 1584
FAC_F378E7A4,2024-07-08,PROV_0035,DEP_FIN,8800.0,Consultoría Estratégica Trimestral - Ref 8827
FAC_4C366D1E,2025-11-20,PROV_0032,DEP_LEG,293.83,Material de Oficina general - Ref 9134
FAC_382D8785,2025-12-20,PROV_0026,DEP_OPS,4399.97,Auditoría de Procesos - Ref 1106
FAC_05E22CFF,2024-09-07,PROV_0032,DEP_FIN,751.13,Consumibles y Papelería - Ref 7404
FAC_8176218D,2024-08-15,PROV_0005,DEP_HR,9746.78,Auditoría de Procesos - Ref 2960
FAC_483872B5,2024-06-03,PROV_0034,DEP_LEG,832.8,Consumibles y Papelería - Ref 2695
FAC_84B2F444,2025-02-26,PROV_0011,DEP_IT,1821.56,Control Acceso Biométrico - Ref 5954
FAC_D1D0E6EA,2024-12-04,PROV_0027,DEP_HR,14431.57,Servicio Formación Ejecutiva - Ref 9196
FAC_6EBFC366,2024-04-09,PROV_0019,DEP_MKT,3702.59,Asesoría Legal laboral - Ref 3554
FAC_71BA1EB3,2025-03-13,PROV_0014,DEP_MKT,3510.71,Mantenimiento Servidores - Ref 2843
FAC_1FEABC01,2024-11-30,PROV_0024,DEP_IT,3103.7,Hardware Portátiles - Ref 5595
FAC_0B1C16FF,2025-03-04,PROV_0020,DEP_MKT,7200.0,Consultoría Estratégica Trimestral - Ref 7087
FAC_7DA9850E,2024-07-25,PROV_0035,DEP_IT,13286.09,Auditoría de Procesos - Ref 7146
FAC_28B13614,2025-01-18,PROV_0016,DEP_FIN,4647.29,Control Acceso Biométrico - Ref 5529
FAC_77626165,2024-10-13,PROV_0025,DEP_MKT,612.29,Limpieza Oficinas Centrales - Ref 9105
FAC_AE709AE5,2024-08-08,PROV_0011,DEP_OPS,4476.8,Sistemas Alarma Instalación - Ref 9773
FAC_A727B6A3,2024-09-02,PROV_0013,DEP_IT,4452.85,Patrocinio Evento Anual - Ref 5663
FAC_F4878D6C,2024-12-02,PROV_0018,DEP_HR,155.59,Consumibles y Papelería - Ref 8071
FAC_6414B411,2025-01-23,PROV_0009,DEP_FIN,5678.37,Mantenimiento Servidores - Ref 4736
FAC_4B079E9E,2025-07-06,PROV_0024,DEP_OPS,5020.49,Mantenimiento Servidores - Ref 7692
FAC_0D56DF50,2025-11-05,PROV_0035,DEP_MKT,13845.29,Consultoría Estratégica Trimestral - Ref 2941
FAC_00E6354A,2026-02-18,PROV_0031,DEP_FIN,10822.27,Auditoría de Procesos - Ref 4792
FAC_A15198F4,2026-02-01,PROV_0034,DEP_OPS,707.54,Material de Oficina general - Ref 5585
FAC_F3D33847,2024-11-12,PROV_0016,DEP_FIN,580.8,Sistemas Alarma Instalación - Ref 1950
FAC_2266067E,2024-04-18,PROV_0009,DEP_MKT,8391.09,Hosting Web mensual - Ref 6536
FAC_4F5F7789,2025-03-04,PROV_0024,DEP_LEG,8599.0,Mantenimiento Servidores - Ref 7453
FAC_79DA6F47,2025-04-13,PROV_0001,DEP_IT,7261.4,Consultoría Estratégica Trimestral - Ref 9812
FAC_A0EE9CB0,2024-01-10,PROV_0015,DEP_FIN,10366.08,Fletes Internacionales - Ref 8075
FAC_85F98C4F,2024-06-29,PROV_0005,DEP_LEG,4626.64,Servicio Formación Ejecutiva - Ref 7897
FAC_432AD993,2025-12-21,PROV_0031,DEP_LEG,9585.77,Auditoría de Procesos - Ref 1027
FAC_3BC83691,2026-03-16,PROV_0034,DEP_IT,7890.0,Material de Oficina general - Ref 8919
FAC_3A5958B0,2026-05-15,PROV_0030,DEP_OPS,94.69,Mobiliario ergonómico - Ref 5811
FAC_B9AA535C,2024-05-13,PROV_0013,DEP_MKT,614.2,Diseño Marca Corporativa - Ref 2326
FAC_11D1071E,2025-01-28,PROV_0016,DEP_MKT,2066.38,Control Acceso Biométrico - Ref 9234
FAC_E5CEFCFE,2026-06-05,PROV_0003,DEP_LEG,451.6,Cafetería y Catering - Ref 8500
FAC_68F26B19,2024-04-25,PROV_0015,DEP_LEG,13056.39,Distribución Última Milla - Ref 4436
FAC_B360C31F,2024-05-16,PROV_0001,DEP_MKT,3392.93,Auditoría de Procesos - Ref 9061
FAC_879F3CFC,2026-03-11,PROV_0021,DEP_LEG,3660.94,Auditoría de Procesos - Ref 8029
FAC_66DE1801,2025-04-26,PROV_0023,DEP_MKT,4987.2,Campaña Publicidad Digital - Ref 8918
FAC_352202D8,2024-04-29,PROV_0011,DEP_OPS,3489.76,Servicio de Vigilancia mensual - Ref 5247
FAC_29E4D3A5,2024-06-08,PROV_0030,DEP_HR,236.96,Consumibles y Papelería - Ref 8491
FAC_3B932799,2026-05-02,PROV_0025,DEP_MKT,863.48,Reparación Climatización - Ref 3045
FAC_F9713A00,2025-11-23,PROV_0032,DEP_FIN,545.27,Consumibles y Papelería - Ref 5321
FAC_17E3BBF5,2025-01-29,PROV_0002,DEP_MKT,863.26,Patrocinio Evento Anual - Ref 3970
FAC_A01BC3BD,2025-03-12,PROV_0026,DEP_FIN,14211.21,Asesoría Financiera - Ref 2273
FAC_7186CE7B,2024-05-20,PROV_0008,DEP_LEG,127.02,Mobiliario ergonómico - Ref 3174
FAC_40FB9540,2025-12-13,PROV_0012,DEP_MKT,8599.0,Reparación Climatización - Ref 2979
FAC_9B7E8DD6,2024-06-22,PROV_0022,DEP_IT,4119.82,Asesoría Legal laboral - Ref 1878
FAC_22D80AEC,2025-06-27,PROV_0029,DEP_LEG,2121.94,Servicio Notaría - Ref 1589
FAC_65DE6BBD,2024-08-06,PROV_0032,DEP_MKT,189.34,Consumibles y Papelería - Ref 1935
FAC_241A8F66,2026-04-19,PROV_0024,DEP_HR,13164.77,Soporte de Sistemas E2E - Ref 1729
FAC_2B593AF9,2026-02-26,PROV_0011,DEP_IT,3772.63,Servicio de Vigilancia mensual - Ref 3919
FAC_9BF2C5A7,2025-02-10,PROV_0014,DEP_MKT,10418.36,Hosting Web mensual - Ref 4099
FAC_545AE0DA,2024-07-13,PROV_0027,DEP_IT,10292.66,Asesoría Financiera - Ref 7010
FAC_DEE4E8C3,2026-02-08,PROV_0018,DEP_IT,709.7,Cafetería y Catering - Ref 6904
FAC_DDB51648,2025-07-06,PROV_0004,DEP_IT,9150.0,Auditoría de Procesos - Ref 4463
FAC_2CAAFDA3,2026-05-30,PROV_0023,DEP_LEG,3770.21,Campaña Publicidad Digital - Ref 6749
FAC_B74DF5A6,2025-02-23,PROV_0027,DEP_OPS,12713.19,Consultoría Estratégica Trimestral - Ref 7145
FAC_633A3042,2026-02-12,PROV_0031,DEP_LEG,12736.34,Auditoría de Procesos - Ref 2858
FAC_D7F9CDC3,2024-08-02,PROV_0024,DEP_LEG,3739.01,Hardware Portátiles - Ref 9204
FAC_EF46B1FC,2025-07-19,PROV_0024,DEP_LEG,9487.35,Soporte de Sistemas E2E - Ref 6106
FAC_978D43C9,2024-07-18,PROV_0008,DEP_FIN,704.79,Consumibles y Papelería - Ref 3419
FAC_BF721752,2026-03-16,PROV_0026,DEP_OPS,13558.0,Auditoría de Procesos - Ref 4481
FAC_9E1DD0A4,2024-05-19,PROV_0012,DEP_HR,155.27,Limpieza Oficinas Centrales - Ref 8683
FAC_51C88836,2025-12-25,PROV_0012,DEP_LEG,559.92,Consumo Eléctrico Centralizado - Ref 1506
FAC_7BE71D8C,2025-05-28,PROV_0011,DEP_IT,1412.61,Sistemas Alarma Instalación - Ref 9864
FAC_FB455BDB,2025-12-18,PROV_0002,DEP_MKT,7299.0,Gestión RRSS mensual - Ref 6068
FAC_739B945E,2026-06-12,PROV_0020,DEP_IT,3728.14,Auditoría de Procesos - Ref 3601
FAC_71A14ED4,2025-08-06,PROV_0024,DEP_HR,10292.47,Hardware Portátiles - Ref 3520
FAC_D2A0274E,2024-02-18,PROV_0014,DEP_FIN,9745.91,Licencias de Software Cloud - Ref 4850
